exercise,date,sets,weight,reps,e1rm,failure,possible_reps,projected_e1rm,target_constant,updated_at
Бабочка,2026-05-13,1.0,82.0,10.5,110.7,1,10.5,110.7,66.46,2026-09-04 13:39:55
Бабочка обратная,2026-03-12,1.0,50.0,8.0,63.33333333333333,1,8.0,63.33333333333333,66.46,2026-09-04 13:39:55
Бицепс,2026-03-02,1.0,18.0,18.0,28.8,1,18.0,28.8,66.46,2026-09-04 13:39:55
Бицепс ez,2026-05-11,1.0,35.0,9.0,45.5,1,9.0,45.5,66.46,2026-09-04 13:39:55
Бицепс сидя,2026-07-24,2.0,33.0,10.0,44.0,0,12.0,46.199999999999996,66.46,2026-09-04 13:39:55
Бицепс строгий,2026-03-30,1.0,50.0,0.9,51.5,1,0.9,51.5,66.46,2026-09-04 13:39:55
Выходы,2026-08-05,1.0,71.0,8.0,89.93333333333332,0,11.0,97.03333333333333,66.46,2026-09-04 13:39:55
Выходы силой,2026-05-13,2.0,72.0,5.0,84.0,1,5.0,84.0,66.46,2026-09-04 13:39:55
Гиперэкстензия,2026-06-15,1.0,71.0,15.0,106.5,0,36.0,156.20000000000002,66.46,2026-09-04 13:39:55
Гиря на попа,2026-06-16,4.0,4.0,12.0,5.6,0,70.0,13.333333333333334,66.46,2026-09-04 13:39:55
Дрейн молитва,2026-04-05,1.0,50.0,12.0,70.0,1,12.0,70.0,66.46,2026-09-04 13:39:55
Жим,2026-03-02,1.0,100.0,1.0,103.33333333333334,1,1.0,103.33333333333334,66.46,2026-09-04 13:39:55
Жим 30°,2026-09-03,1.0,75.0,1.0,77.50000000000001,1,1.0,77.50000000000001,66.46,2026-09-04 13:39:55
Жим гантелей 30°,2026-05-10,1.0,32.5,8.0,41.16666666666666,1,8.0,41.166666666666664,66.46,2026-09-04 13:39:55
Жим гантелей 60°,2026-05-04,1.0,16.0,12.0,22.4,0,18.0,25.6,66.46,2026-09-04 13:39:55
Зажим яйцами,2026-05-23,1.0,215.0,9.5,283.0833333333333,1,9.5,283.0833333333333,66.46,2026-09-04 13:39:55
Катана екстеншн,2026-08-26,1.0,50.0,16.0,76.66666666666666,1,16.0,76.66666666666666,66.46,2026-09-04 13:39:55
Кисти Л,2026-02-25,1.0,90.0,18.0,144.0,0,20.0,150.0,66.46,2026-09-04 13:39:55
Кисти П,2026-03-20,1.0,120.0,6.0,144.0,0,7.0,148.0,66.46,2026-09-04 13:39:55
На колене перед господом,2026-08-26,1.0,135.0,24.0,243.0,0,30.0,270.0,66.46,2026-09-04 13:39:55
Отжимания,2025-12-31,2.0,69.0,26.0,128.8,0,70.0,230.0,66.46,2026-09-04 13:39:55
Плечи,2026-01-05,1.0,4.0,24.0,7.2,0,100.0,17.333333333333336,66.46,2026-09-04 13:39:55
Подтягивания,2026-07-19,1.0,71.0,15.0,106.5,0,26.0,132.53333333333333,66.46,2026-09-04 13:39:55
Подтягивания обратные,2026-04-01,1.0,71.0,15.0,106.5,0,23.0,125.43333333333332,66.46,2026-09-04 13:39:55
Подтягивания одной рукой,2026-03-18,1.0,39.5,24.0,71.10000000000001,0,36.0,86.9,66.46,2026-09-04 13:39:55
Подтягивания прямые,2026-08-04,1.0,71.0,20.0,118.33333333333331,0,30.0,142.0,66.46,2026-09-04 13:39:55
Подтягивания широкие,2026-08-05,1.0,71.0,15.0,106.5,0,18.0,113.60000000000001,66.46,2026-09-04 13:39:55
Пресс -20°,2026-03-04,1.0,69.0,25.0,126.5,0,35.0,149.50000000000003,66.46,2026-09-04 13:39:55
Пресс в тренажёре,2026-03-20,1.0,14.0,15.0,21.0,0,22.0,24.266666666666666,66.46,2026-09-04 13:39:55
Присед,2026-04-05,1.0,136.0,1.0,140.53333333333336,1,1.0,140.53333333333336,66.46,2026-09-04 13:39:55
Разводка,2026-05-13,1.0,16.0,12.0,22.4,0,16.0,24.53333333333333,66.46,2026-09-04 13:39:55
Разгибание ног,2026-08-10,1.0,34.0,12.0,47.6,0,24.0,61.2,66.46,2026-09-04 13:39:55
Сгибание ног,2026-06-15,1.0,18.0,15.0,27.0,0,30.0,36.0,66.46,2026-09-04 13:39:55
Становая сумо,2026-04-22,1.0,158.0,1.0,163.26666666666668,1,1.0,163.26666666666668,66.46,2026-09-04 13:39:55
Сундук,2026-03-04,1.0,100.0,8.0,126.66666666666666,1,8.0,126.66666666666666,66.46,2026-09-04 13:39:55
Трицепс,2026-02-25,1.0,165.0,11.5,228.25,1,11.5,228.25,66.46,2026-09-04 13:39:55
Трицепс в странном тренажере,2026-06-07,2.0,80.0,15.0,120.0,0,20.0,133.33333333333331,66.46,2026-09-04 13:39:55
Тяга верхнего блока,2026-05-25,1.0,145.0,8.0,183.66666666666663,1,8.0,183.66666666666666,66.46,2026-09-04 13:39:55
Тяга горизонтальная,2026-05-11,1.0,175.0,11.5,242.0833333333333,1,11.5,242.08333333333331,66.46,2026-09-04 13:39:55
Французский жим,2026-08-01,1.0,10.0,12.0,14.0,0,49.0,26.333333333333332,66.46,2026-09-04 13:39:55
Шраги,2026-02-08,1.0,16.0,12.0,22.4,0,40.0,37.33333333333333,66.46,2026-09-04 13:39:55
Ягодичный мост,2026-08-25,1.0,70.0,12.0,98.0,1,12.0,98.0,66.46,2026-09-04 13:39:55
пуловер,2026-05-25,1.0,60.0,12.0,84.0,0,40.0,139.99999999999997,66.46,2026-09-04 13:39:55
