exercise,chest,upper_chest,front_delts,lateral_delts,rear_delts,triceps,biceps,forearms,lats,upper_back,traps,erectors,core,quads,hamstrings,glutes,adductors,abs,obliques,hip_flexors,sum,difficulty_coeff
Бабочка,0.75,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7383017163504969
Бабочка обратная,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.196048780487805
Бицепс,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8378472222222224
Бицепс ez,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7962637362637364
Бицепс строгий,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.586990291262136
Выходы,0.2,0.0,0.15,0.0,0.0,0.15,0.1,0.05,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93512585812357
Выходы силой,0.2,0.0,0.15,0.0,0.0,0.2,0.1,0.03,0.25,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9729761904761904
Дрейн молитва,0.25,0.55,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1675714285714287
Жим,0.5,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7909354838709677
Жим гантелей 30°,0.15,0.45,0.18,0.0,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.985344129554656
Зажим яйцами,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.85,0.0,0.0,0.0,1.0,0.2887135707977628
Кисти Л,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.477953216374269
Кисти П,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5239102564102565
Отжимания,0.5,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3553478260869565
Плечи,0.0,0.0,0.1,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.475304878048781
Подтягивания,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.08,0.4,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652621722846442
Подтягивания обратные,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.07,0.35,0.16,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641115926327193
Подтягивания прямые,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.08,0.4,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922463768115942
Подтягивания широкие,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.06,0.45,0.21,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7106956521739132
Пресс -20°,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,1.0,0.5466889632107023
Присед,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.4,0.1,0.25,0.15,0.0,0.0,0.0,1.0,0.5815702087286526
Разводка,0.7,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.405416666666667
Разгибание ног,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0,1.0,1.27703125
Становая сумо,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.08,0.14,0.16,0.22,0.18,0.0,0.0,0.0,1.0,0.5005920783993466
Сундук,0.45,0.05,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6452368421052632
Трицепс,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3580722891566265
Тяга верхнего блока,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.05,0.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4449909255898367
