date,e1rm__big__arms,e1rm__big__back,e1rm__big__chest,e1rm__big__core,e1rm__big__legs,e1rm__big__shoulders,e1rm__small__chest,e1rm__small__upper_chest,e1rm__small__front_delts,e1rm__small__lateral_delts,e1rm__small__rear_delts,e1rm__small__triceps,e1rm__small__biceps,e1rm__small__forearms,e1rm__small__lats,e1rm__small__upper_back,e1rm__small__traps,e1rm__small__erectors,e1rm__small__core,e1rm__small__quads,e1rm__small__hamstrings,e1rm__small__glutes,e1rm__small__adductors,e1rm__small__abs,e1rm__small__obliques,e1rm__small__hip_flexors,tonnage__big__arms,tonnage__big__back,tonnage__big__chest,tonnage__big__core,tonnage__big__legs,tonnage__big__shoulders,tonnage__small__chest,tonnage__small__upper_chest,tonnage__small__front_delts,tonnage__small__lateral_delts,tonnage__small__rear_delts,tonnage__small__triceps,tonnage__small__biceps,tonnage__small__forearms,tonnage__small__lats,tonnage__small__upper_back,tonnage__small__traps,tonnage__small__erectors,tonnage__small__core,tonnage__small__quads,tonnage__small__hamstrings,tonnage__small__glutes,tonnage__small__adductors,tonnage__small__abs,tonnage__small__obliques,tonnage__small__hip_flexors,rawton__big__arms,rawton__big__back,rawton__big__chest,rawton__big__core,rawton__big__legs,rawton__big__shoulders,rawton__small__chest,rawton__small__upper_chest,rawton__small__front_delts,rawton__small__lateral_delts,rawton__small__rear_delts,rawton__small__triceps,rawton__small__biceps,rawton__small__forearms,rawton__small__lats,rawton__small__upper_back,rawton__small__traps,rawton__small__erectors,rawton__small__core,rawton__small__quads,rawton__small__hamstrings,rawton__small__glutes,rawton__small__adductors,rawton__small__abs,rawton__small__obliques,rawton__small__hip_flexors,fail__big__arms,fail__big__back,fail__big__chest,fail__big__core,fail__big__legs,fail__big__shoulders,fail__small__chest,fail__small__upper_chest,fail__small__front_delts,fail__small__lateral_delts,fail__small__rear_delts,fail__small__triceps,fail__small__biceps,fail__small__forearms,fail__small__lats,fail__small__upper_back,fail__small__traps,fail__small__erectors,fail__small__core,fail__small__quads,fail__small__hamstrings,fail__small__glutes,fail__small__adductors,fail__small__abs,fail__small__obliques,fail__small__hip_flexors
2025-12-24,62.825,72.45920289855073,125.65,21.779710144927535,190.57246376811594,50.260000000000005,125.65,0.0,50.260000000000005,0.0,0.0,62.825,0.0,0.0,12.565000000000001,0.0,32.6695652173913,27.22463768115942,21.779710144927535,38.11449275362319,43.55942028985507,59.89420289855072,49.00434782608695,0.0,0.0,0.0,231.0,257.59130434782617,462.0,76.86956521739133,672.6086956521741,184.8,462.0,0.0,184.8,0.0,0.0,231.0,0.0,0.0,46.2,0.0,115.30434782608697,96.08695652173915,76.86956521739133,134.5217391304348,153.73913043478265,211.39130434782612,172.95652173913047,0.0,0.0,0.0,220.0,268.4,440.0,81.60000000000001,714.0,176.0,440.0,0.0,176.0,0.0,0.0,220.0,0.0,0.0,44.0,0.0,122.39999999999999,102.0,81.60000000000001,142.8,163.20000000000002,224.4,183.6,0.0,0.0,0.0,1.8627838457382e-06,3.7255676914764e-07,3.7255676914764e-06,0.0,0.0,1.49022707659056e-06,3.7255676914764e-06,0.0,1.49022707659056e-06,0.0,0.0,1.8627838457382e-06,0.0,0.0,3.7255676914764e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,234.12668444113757,18.375,274.1224888392857,0.0,0.0,97.59933035714286,274.1224888392857,0.0,97.59933035714286,0.0,0.0,91.875,115.0063140707672,27.245370370370374,18.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.382006448413,78.75,1523.646763392857,0.0,0.0,511.30580357142856,1523.646763392857,0.0,511.30580357142856,0.0,0.0,393.75,1393.5208953373017,336.11111111111114,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.65,75.0,1764.75,0.0,0.0,570.6,1764.75,0.0,570.6,0.0,0.0,375.0,771.6500000000001,176.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.025617310355105e-05,0.0,9.039987619056098e-05,0.0,0.0,2.410663365081626e-05,9.039987619056098e-05,0.0,2.410663365081626e-05,0.0,0.0,0.0,6.541027016538166e-05,1.48459029381694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,83.16000000000001,261.36,0.0,11.88,0.0,39.60000000000001,0.0,0.0,0.0,0.0,39.60000000000001,0.0,59.400000000000006,23.76,178.20000000000002,83.16,0.0,0.0,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.8000000000001,1900.8000000000002,0.0,86.4,0.0,288.00000000000006,0.0,0.0,0.0,0.0,288.00000000000006,0.0,432.00000000000006,172.8,1296.0000000000002,604.8000000000001,0.0,0.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.52,2185.92,0.0,99.36,0.0,331.2,0.0,0.0,0.0,0.0,331.2,0.0,496.79999999999995,198.72,1490.4,695.52,0.0,0.0,99.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041049521878292654,0.0012901278304606261,0.0,5.864217411184664e-05,0.0,0.00019547391370615549,0.0,0.0,0.0,0.0,0.00019547391370615549,0.0,0.00029321087055923323,0.00011728434822369329,0.0008796326116776997,0.0004104952187829265,0.0,0.0,5.864217411184664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,65.45975609756098,105.60000000000002,63.71951219512195,11.171951219512195,0.0,41.487804878048784,63.71951219512195,0.0,25.48780487804878,0.0,16.000000000000004,31.859756097560975,24.000000000000004,9.600000000000001,72.00000000000001,33.6,0.0,0.0,11.171951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.4512195121952,792.0000000000001,868.9024390243902,122.89024390243904,0.0,467.56097560975616,868.9024390243902,0.0,347.5609756097561,0.0,120.00000000000003,434.4512195121951,180.00000000000003,72.00000000000001,540.0000000000001,252.00000000000003,0.0,0.0,122.89024390243904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.3,910.8,1725.0,213.9,0.0,828.0,1725.0,0.0,690.0,0.0,138.0,862.5,207.0,82.8,621.0,289.8,0.0,0.0,213.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003000049850000274,7.165821753046631e-05,0.0005544092861170307,5.869812031763336e-05,0.0,0.0002326210201332466,0.0005544092861170307,0.0,0.0002217637144468123,0.0,1.085730568643429e-05,0.00027720464305851537,1.628595852965143e-05,6.514383411860573e-06,4.88578755889543e-05,2.2800341941512006e-05,0.0,0.0,5.869812031763336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-28,115.50000000000003,363.0000000000001,0.0,16.500000000000004,0.0,55.000000000000014,0.0,0.0,0.0,0.0,55.000000000000014,0.0,82.50000000000001,33.00000000000001,247.50000000000006,115.50000000000003,0.0,0.0,16.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0000000000002,2574.0000000000005,0.0,117.00000000000003,0.0,390.0000000000001,0.0,0.0,0.0,0.0,390.0000000000001,0.0,585.0000000000001,234.00000000000006,1755.0000000000005,819.0000000000001,0.0,0.0,117.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.8499999999999,2960.1,0.0,134.54999999999998,0.0,448.5,0.0,0.0,0.0,0.0,448.5,0.0,672.75,269.09999999999997,2018.25,941.85,0.0,0.0,134.54999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8401025824536e-05,0.00021497465259139888,0.0,9.771575117790858e-06,0.0,3.257191705930286e-05,0.0,0.0,0.0,0.0,3.257191705930286e-05,0.0,4.885787558895429e-05,1.9543150235581715e-05,0.00014657362676686288,6.8401025824536e-05,0.0,0.0,9.771575117790858e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,32.72987804878049,52.80000000000001,31.859756097560975,5.5859756097560975,0.0,20.743902439024392,31.859756097560975,0.0,12.74390243902439,0.0,8.000000000000002,15.929878048780488,12.000000000000002,4.800000000000001,36.00000000000001,16.8,0.0,0.0,5.5859756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.2256097560976,396.00000000000006,434.4512195121951,61.44512195121952,0.0,233.78048780487808,434.4512195121951,0.0,173.78048780487805,0.0,60.000000000000014,217.22560975609755,90.00000000000001,36.00000000000001,270.00000000000006,126.00000000000001,0.0,0.0,61.44512195121952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.15,455.4,862.5,106.95,0.0,414.0,862.5,0.0,345.0,0.0,69.0,431.25,103.5,41.4,310.5,144.9,0.0,0.0,106.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001500024925000137,3.5829108765233154e-05,0.00027720464305851537,2.934906015881668e-05,0.0,0.0001163105100666233,0.00027720464305851537,0.0,0.00011088185722340615,0.0,5.428652843217145e-06,0.00013860232152925769,8.142979264825716e-06,3.2571917059302863e-06,2.442893779447715e-05,1.1400170970756003e-05,0.0,0.0,2.934906015881668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,223.5390243902439,600.6,64.8780487804878,33.78780487804878,0.0,116.95121951219512,64.8780487804878,0.0,25.951219512195124,0.0,91.0,32.4390243902439,136.5,54.6,409.5,191.1,0.0,0.0,33.78780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.829268292683,2574.0000000000005,903.6585365853658,207.36585365853662,0.0,751.4634146341465,903.6585365853658,0.0,361.4634146341464,0.0,390.0000000000001,451.8292682926829,585.0000000000001,234.00000000000006,1755.0000000000005,819.0000000000001,0.0,0.0,207.36585365853662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.85,2960.1,1794.0,313.95,0.0,1166.1,1794.0,0.0,717.6,0.0,448.5,897.0,672.75,269.09999999999997,2018.25,941.8499999999999,0.0,0.0,313.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004029692470837748,0.0,0.0008059384941675496,8.059384941675497e-05,0.0,0.0003223753976670199,0.0008059384941675496,0.0,0.0003223753976670199,0.0,0.0,0.0004029692470837748,0.0,0.0,0.0,0.0,0.0,0.0,8.059384941675497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
